CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Balance_per_Product,Age_Group,Credit_Score_Age_Ratio,Is_High_Value_Active
571,France,Male,44,9,0.0,2,0,0,27725.32435990206,0,4,PLATINUM,448,0.0,Adult,12.688888888888888,0
574,Germany,Female,43,3,141349.43,1,1,1,45624.860547147386,0,5,DIAMOND,499,128499.4818181818,Adult,13.045454545454545,1
411,France,Male,29,0,59697.17,2,1,1,17945.769346709956,0,2,GOLD,343,28427.223809523806,Young,13.7,0
591,Spain,Female,39,3,0.0,3,1,0,20567.816496119292,1,3,DIAMOND,298,0.0,Adult,14.775,0
533,France,Male,36,7,85311.7,1,0,1,37322.18819119664,0,5,SILVER,628,77556.0909090909,Adult,14.405405405405405,1
553,Germany,Male,41,9,110112.54,2,0,0,51731.68241185911,0,3,GOLD,611,52434.54285714285,Adult,13.166666666666666,0
520,Spain,Female,42,6,0.0,2,1,1,21088.53566309422,0,2,SILVER,922,0.0,Adult,12.093023255813954,0
722,Spain,Female,29,9,0.0,2,1,1,22448.99389518757,0,5,PLATINUM,276,0.0,Young,24.066666666666666,0
475,France,Female,45,0,134264.04,1,1,0,29517.190362394947,1,1,DIAMOND,877,122058.21818181819,Adult,10.326086956521738,0
490,Spain,Male,31,3,145260.23,1,0,1,26733.928798953002,0,4,SILVER,471,132054.75454545455,Adult,15.3125,1
804,Spain,Male,33,7,76548.6,1,0,1,34105.040188810155,0,2,GOLD,994,69589.63636363637,Adult,23.647058823529413,1
850,France,Male,36,7,0.0,1,1,1,30977.323561063455,0,3,GOLD,944,0.0,Adult,22.972972972972972,0
582,Germany,Male,41,6,70349.48,2,0,1,43248.049956831084,0,5,GOLD,419,33499.75238095238,Adult,13.857142857142858,0
472,Spain,Male,40,4,0.0,1,1,0,18063.14321269959,0,4,DIAMOND,545,0.0,Adult,11.512195121951219,0
465,France,Female,51,8,122522.32,1,0,0,33766.79222958165,1,5,SILVER,828,111383.92727272728,Middle,8.942307692307692,0
556,France,Female,61,2,117419.35,1,1,1,29257.114438576496,0,3,PLATINUM,789,106744.86363636363,Senior,8.96774193548387,1
834,France,Female,49,2,131394.56,1,0,0,55375.56891810056,1,2,GOLD,567,119449.59999999999,Middle,16.68,0
660,Spain,Female,61,5,155931.11,1,1,1,34115.82426154315,0,1,PLATINUM,884,141755.55454545454,Senior,10.64516129032258,1
776,Germany,Female,32,4,109421.13,2,1,1,52162.21702968011,0,1,SILVER,296,52105.3,Adult,23.515151515151516,1
829,Germany,Female,27,9,112045.67,1,1,1,46441.28608544864,1,3,DIAMOND,779,101859.7,Young,29.607142857142858,1
637,Germany,Female,39,9,137843.8,1,1,1,60388.27212310873,1,1,SILVER,730,125312.54545454543,Adult,15.925,1
550,Germany,Male,38,2,103391.38,1,0,1,42334.252745606456,0,3,DIAMOND,960,93992.16363636364,Adult,14.102564102564102,1
776,Germany,Female,37,2,103769.22,2,1,0,53780.89148995434,0,1,SILVER,268,49413.91428571429,Adult,20.42105263157895,0
698,Germany,Male,44,10,116363.37,2,1,0,63185.69961987068,0,4,SILVER,829,55411.12857142857,Adult,15.511111111111111,0
585,Germany,Male,36,5,146050.97,2,0,0,51715.2828331628,0,3,SILVER,665,69548.08095238094,Adult,15.81081081081081,0
788,France,Female,33,5,0.0,2,0,0,28924.32899618202,0,3,GOLD,982,0.0,Adult,23.176470588235293,0
655,Germany,Male,41,8,125561.97,1,0,0,62714.573821512044,1,3,SILVER,343,114147.24545454545,Adult,15.595238095238095,0
601,Germany,Male,42,1,98495.72,1,1,0,50496.752366308654,1,2,DIAMOND,225,89541.56363636363,Adult,13.976744186046512,0
619,France,Male,43,1,125211.92,1,1,1,45784.21708466223,0,5,SILVER,657,113829.01818181817,Adult,14.068181818181818,1
656,France,Male,45,5,127864.4,1,1,0,48939.857659068,0,2,PLATINUM,221,116240.36363636362,Adult,14.26086956521739,0
725,Germany,Male,19,0,75888.2,1,0,0,27374.463593550605,0,2,PLATINUM,406,68989.27272727272,Young,36.25,0
511,Spain,Female,66,4,0.0,1,1,0,16578.38667402279,1,5,SILVER,549,0.0,Senior,7.626865671641791,0
614,France,Male,51,4,40685.92,1,1,1,35269.53172053613,0,4,PLATINUM,954,36987.2,Middle,11.807692307692308,0
742,Germany,Male,35,5,136857.0,1,0,0,61533.81456788643,0,4,GOLD,823,124415.45454545453,Adult,20.61111111111111,0
687,Germany,Female,27,9,152328.88,2,0,0,46854.399745781644,0,5,DIAMOND,769,72537.56190476191,Young,24.535714285714285,0
555,Spain,Male,33,1,56084.69,2,0,0,22232.977447460584,0,5,PLATINUM,481,26706.995238095238,Adult,16.323529411764707,0
684,Spain,Male,56,8,78707.16,1,1,1,33025.522702090544,0,4,SILVER,903,71551.96363636364,Middle,12.0,1
603,Germany,Male,26,4,109166.37,1,1,1,38971.647161031215,0,3,PLATINUM,882,99242.15454545453,Young,22.333333333333332,1
751,Germany,Female,36,6,169831.46,2,1,1,80000.0,1,5,GOLD,379,80872.12380952381,Adult,20.2972972972973,1
581,Germany,Female,34,1,101633.04,1,1,0,33564.25263861251,1,3,PLATINUM,469,92393.67272727271,Adult,16.6,0
735,Germany,Male,43,10,123180.01,2,1,1,73435.61540112692,1,3,PLATINUM,683,58657.14761904762,Adult,16.704545454545453,1
661,Germany,Female,35,5,150725.53,2,0,1,60991.4474231466,1,1,GOLD,770,71774.0619047619,Adult,18.36111111111111,1
675,France,Female,21,8,98373.26,1,1,0,24393.209545777478,0,5,SILVER,985,89430.23636363636,Young,30.681818181818183,0
738,Germany,Male,58,2,133745.44,4,1,0,66596.13046024549,1,4,GOLD,725,32620.839024390247,Middle,12.508474576271187,0
813,France,Male,29,6,0.0,1,1,0,26799.380445977127,0,3,PLATINUM,259,0.0,Young,27.1,0
657,Spain,Female,37,0,163607.18,1,0,1,40015.5182159136,0,2,GOLD,979,148733.8,Adult,17.289473684210527,1
604,Germany,Female,25,5,157780.84,2,1,1,49454.78010066734,0,2,SILVER,988,75133.73333333332,Young,23.23076923076923,1
519,France,Male,36,9,0.0,2,0,1,22523.246122159057,0,2,PLATINUM,833,0.0,Adult,14.027027027027026,0
735,France,Female,21,1,178718.19,2,1,0,33600.15007630981,0,1,PLATINUM,527,85103.9,Young,33.40909090909091,0
664,France,Male,55,8,0.0,2,1,1,29093.476362224123,0,5,SILVER,220,0.0,Middle,11.857142857142858,0
678,France,Female,32,9,0.0,1,1,1,24457.994334690644,0,4,GOLD,983,0.0,Adult,20.545454545454547,0
757,Spain,Male,33,5,77253.22,1,0,1,38084.348473242244,0,3,SILVER,582,70230.2,Adult,22.264705882352942,1
416,Germany,Female,41,10,122189.66,2,1,0,38046.89103847535,0,3,SILVER,281,58185.55238095238,Adult,9.904761904761905,0
665,France,Female,34,1,96645.54,2,0,0,33789.676965496,0,3,DIAMOND,798,46021.68571428571,Adult,19.0,0
777,France,Female,32,2,0.0,1,1,0,27570.044697849786,1,5,SILVER,917,0.0,Adult,23.545454545454547,0
543,France,Female,36,3,0.0,2,0,0,24098.19711819998,0,2,DIAMOND,255,0.0,Adult,14.675675675675675,0
506,France,Female,34,4,90307.62,1,1,1,27658.188393989087,0,4,SILVER,511,82097.83636363635,Adult,14.457142857142857,1
493,France,Female,46,4,0.0,2,1,0,19506.247102019363,0,1,SILVER,498,0.0,Middle,10.48936170212766,0
652,Spain,Female,75,10,0.0,2,1,1,21658.25831112717,0,5,DIAMOND,651,0.0,Senior,8.578947368421053,0
750,Spain,Male,22,3,121681.82,1,1,0,29385.189330610647,1,2,SILVER,852,110619.83636363636,Young,32.608695652173914,0
729,France,Male,30,9,0.0,2,1,0,30683.281802369293,0,1,DIAMOND,807,0.0,Young,23.516129032258064,0
646,France,Female,46,4,0.0,3,1,0,29684.327593336777,1,3,PLATINUM,470,0.0,Middle,13.74468085106383,0
635,Germany,Female,28,3,81623.67,2,1,1,34940.58424564123,0,1,DIAMOND,659,38868.41428571428,Young,21.896551724137932,1
647,Spain,Female,44,5,0.0,3,1,1,27638.676724900066,1,3,DIAMOND,752,0.0,Adult,14.377777777777778,0
808,France,Male,45,7,118626.55,2,1,0,65674.03960221766,0,1,SILVER,559,56488.833333333336,Adult,17.565217391304348,0
524,France,Female,36,10,0.0,2,1,0,23817.526071536573,0,2,GOLD,375,0.0,Adult,14.162162162162161,0
769,France,Male,29,8,0.0,2,1,1,26993.20166216734,0,2,DIAMOND,411,0.0,Young,25.633333333333333,0
730,Spain,Male,42,4,0.0,2,0,1,28250.01135469931,0,4,DIAMOND,722,0.0,Adult,16.976744186046513,0
515,Spain,Male,35,10,176273.95,1,0,1,39778.16261867561,0,1,GOLD,231,160249.04545454544,Adult,14.305555555555555,1
773,Spain,Male,41,9,102827.44,1,0,1,51551.52025875415,0,5,DIAMOND,488,93479.4909090909,Adult,18.404761904761905,1
814,Germany,Male,29,8,97086.4,2,1,1,50573.608471803695,0,2,GOLD,965,46231.619047619046,Young,27.133333333333333,1
710,Spain,Male,22,8,0.0,2,0,0,18116.87880974228,0,4,SILVER,289,0.0,Young,30.869565217391305,0
413,France,Male,34,9,0.0,2,0,0,18984.63952756744,0,1,PLATINUM,449,0.0,Adult,11.8,0
665,France,Female,40,6,0.0,1,1,1,25693.900411139326,0,2,SILVER,651,0.0,Adult,16.21951219512195,0
623,France,Female,44,6,0.0,2,0,0,28493.834861779575,0,2,DIAMOND,520,0.0,Adult,13.844444444444445,0
738,France,Male,31,9,82674.15,1,1,0,40569.98262906197,0,4,DIAMOND,234,75158.31818181818,Adult,23.0625,0
528,Spain,Male,36,7,0.0,2,1,0,21372.911105927862,0,5,SILVER,458,0.0,Adult,14.27027027027027,0
670,Spain,Female,65,1,0.0,1,1,1,18079.903153744595,1,2,GOLD,915,0.0,Senior,10.151515151515152,0
622,Spain,Female,46,4,107073.27,2,1,1,41836.19310974091,1,3,GOLD,299,50987.27142857143,Middle,13.23404255319149,1
582,Germany,Male,32,1,88938.62,1,1,1,37010.096195941755,0,4,GOLD,838,80853.2909090909,Adult,17.636363636363637,1
785,Germany,Female,36,2,99806.85,1,0,1,55753.074578939464,0,5,PLATINUM,786,90733.5,Adult,21.216216216216218,1
605,Spain,Male,33,5,150092.8,1,0,0,40780.0996377195,0,3,DIAMOND,509,136447.99999999997,Adult,17.794117647058822,0
479,Germany,Male,35,9,92833.89,1,1,0,36201.65629003489,1,3,DIAMOND,328,84394.44545454545,Adult,13.305555555555555,0
685,Germany,Male,30,3,90536.81,1,0,1,38083.16666947435,0,4,SILVER,347,82306.1909090909,Young,22.096774193548388,1
538,Germany,Male,39,7,108055.1,2,1,0,46674.00192173708,0,5,SILVER,534,51454.80952380953,Adult,13.45,0
562,France,Male,42,2,100238.35,1,0,0,36131.46378257456,0,5,PLATINUM,709,91125.77272727272,Adult,13.069767441860465,0
675,Spain,Male,36,9,106190.55,1,0,1,45805.82596783942,0,4,SILVER,749,96536.86363636363,Adult,18.243243243243242,1
721,Germany,Male,28,9,154475.54,2,0,1,54439.58544765379,1,5,PLATINUM,541,73559.78095238096,Young,24.862068965517242,1
628,Germany,Female,30,9,132351.29,2,1,1,54227.877866931616,0,2,GOLD,736,63024.42380952381,Young,20.258064516129032,1
668,Germany,Female,37,6,167864.4,1,1,0,59687.221216601916,0,4,SILVER,529,152603.99999999997,Adult,17.57894736842105,0
506,France,Female,41,1,0.0,2,1,0,21075.921383686404,0,4,GOLD,594,0.0,Adult,12.047619047619047,0
524,Germany,Female,31,8,107818.63,1,1,0,42113.12966545034,1,1,SILVER,462,98016.93636363636,Adult,16.375,0
699,Germany,Male,34,4,185173.81,2,1,0,61631.115660350755,0,3,PLATINUM,429,88178.00476190475,Adult,19.97142857142857,0
828,France,Male,34,8,129433.34,2,0,0,57781.26388808124,0,4,SILVER,370,61634.9238095238,Adult,23.65714285714286,0
674,Spain,Male,39,6,120193.42,1,0,0,38926.716041136846,0,1,PLATINUM,510,109266.74545454544,Adult,16.85,0
656,France,Female,39,6,0.0,2,1,0,29664.27291495743,0,4,DIAMOND,638,0.0,Adult,16.4,0
684,Germany,Female,48,10,126384.42,1,1,1,56607.76041923841,0,1,GOLD,462,114894.92727272726,Middle,13.959183673469388,1
625,France,Female,28,3,0.0,1,0,0,19361.939096719154,0,4,GOLD,718,0.0,Young,21.551724137931036,0
432,France,Male,42,9,152603.45,1,1,0,42780.3918623132,1,3,DIAMOND,437,138730.4090909091,Adult,10.046511627906977,0
549,France,Female,52,1,0.0,1,0,1,20211.53186271559,1,4,DIAMOND,485,0.0,Middle,10.358490566037736,0
625,Germany,Male,56,0,148507.24,1,1,0,49582.74638752881,1,3,PLATINUM,410,135006.5818181818,Middle,10.964912280701755,0
828,France,Female,41,7,0.0,2,1,0,35101.22715793446,0,2,PLATINUM,666,0.0,Adult,19.714285714285715,0
770,France,Male,24,9,101827.07,1,1,0,31333.546074173613,0,4,GOLD,730,92570.06363636363,Young,30.8,0
758,France,Female,34,3,0.0,2,1,1,26301.374212672123,0,2,PLATINUM,375,0.0,Adult,21.65714285714286,0
795,Germany,Female,33,9,130862.43,1,1,1,60826.46369897115,0,5,GOLD,411,118965.84545454544,Adult,23.38235294117647,1
687,France,Male,38,9,122570.87,1,1,1,45295.11980195301,0,4,DIAMOND,595,111428.06363636363,Adult,17.615384615384617,1
686,France,Male,25,1,0.0,2,0,1,20218.18436506301,0,1,DIAMOND,578,0.0,Young,26.384615384615383,0
789,Germany,Male,39,7,124828.46,2,1,1,66511.23763321317,0,2,PLATINUM,377,59442.12380952381,Adult,19.725,1
589,Germany,Female,50,5,144895.05,2,1,1,56620.506426203305,0,2,GOLD,831,68997.64285714286,Middle,11.549019607843137,1
461,Germany,Female,34,5,63663.93,1,0,1,25600.6076317788,0,1,SILVER,497,57876.299999999996,Adult,13.17142857142857,0
637,France,Male,40,2,133463.1,1,0,1,46501.04024549143,0,1,PLATINUM,374,121330.09090909091,Adult,15.536585365853659,1
584,Spain,Female,48,2,213146.2,1,1,0,46841.313712144634,0,4,DIAMOND,814,193769.27272727274,Middle,11.918367346938776,0
579,Spain,Female,35,1,129490.36,2,0,1,30395.72649524626,1,4,GOLD,247,61662.07619047619,Adult,16.083333333333332,1
756,Germany,Male,44,10,137452.09,1,1,0,76653.61842419367,0,5,PLATINUM,965,124956.44545454544,Adult,16.8,0
663,France,Male,34,7,0.0,2,1,1,27907.456365276495,0,3,SILVER,912,0.0,Adult,18.942857142857143,0
682,France,Female,43,5,125851.93,1,1,1,42434.93965884738,0,4,GOLD,462,114410.84545454544,Adult,15.5,1
793,Spain,Male,52,2,0.0,1,1,0,30138.439793334433,1,5,GOLD,883,0.0,Middle,14.962264150943396,0
691,France,Female,31,5,40915.55,1,1,0,29228.875960464793,0,2,SILVER,402,37195.954545454544,Adult,21.59375,0
485,Spain,Female,21,5,113157.22,1,1,1,16563.31122360619,0,4,GOLD,764,102870.2,Young,22.045454545454547,1
635,Spain,Female,29,8,138296.94,2,1,0,31905.029049397017,0,1,PLATINUM,608,65855.68571428572,Young,21.166666666666668,0
650,France,Male,37,5,106967.18,1,0,0,40505.40182152891,0,5,PLATINUM,652,97242.8909090909,Adult,17.105263157894736,0
735,France,Male,44,9,120681.63,1,1,0,56347.70693791795,0,2,SILVER,520,109710.57272727272,Adult,16.333333333333332,0
416,France,Male,32,0,0.0,2,0,1,16836.77502312507,0,5,GOLD,884,0.0,Adult,12.606060606060606,0
754,Spain,Female,32,7,0.0,2,1,0,27281.301964043163,0,1,SILVER,800,0.0,Adult,22.848484848484848,0
535,France,Female,48,9,0.0,1,1,0,26241.607767268422,1,4,GOLD,697,0.0,Middle,10.918367346938776,0
716,Spain,Male,42,8,0.0,2,1,0,30618.716064705957,0,2,SILVER,427,0.0,Adult,16.651162790697676,0
539,France,Male,37,2,127609.59,1,1,0,37999.717476476995,0,1,DIAMOND,620,116008.71818181817,Adult,14.18421052631579,0
614,France,Female,43,6,0.0,2,1,1,29532.508370391573,0,1,PLATINUM,318,0.0,Adult,13.954545454545455,0
706,Spain,Male,57,7,0.0,1,1,0,25076.630654623325,1,1,GOLD,701,0.0,Middle,12.172413793103448,0
758,France,Female,33,7,0.0,2,0,0,32730.44055024237,0,4,PLATINUM,953,0.0,Adult,22.294117647058822,0
586,Spain,Female,28,2,0.0,2,1,1,15505.857362652543,0,5,PLATINUM,635,0.0,Young,20.20689655172414,0
646,France,Female,73,6,97259.25,1,0,1,31930.796051715013,0,1,PLATINUM,250,88417.5,Senior,8.72972972972973,1
631,Germany,Female,33,4,123246.7,1,0,0,46298.55228792845,0,3,SILVER,662,112042.45454545453,Adult,18.558823529411764,0
717,Spain,Female,22,6,101060.25,1,0,1,22871.553481840965,0,2,GOLD,666,91872.95454545454,Young,31.17391304347826,1
684,France,Male,30,2,0.0,2,1,0,25929.809334708334,0,4,DIAMOND,699,0.0,Young,22.06451612903226,0
800,France,Female,49,7,108007.36,1,0,0,57882.339287683426,0,3,PLATINUM,855,98188.50909090908,Middle,16.0,0
721,Spain,Female,36,2,0.0,2,1,1,25063.532346377986,0,5,SILVER,534,0.0,Adult,19.486486486486488,0
683,Spain,Male,29,0,133702.89,1,1,0,30276.525506679507,1,1,PLATINUM,388,121548.08181818182,Young,22.766666666666666,0
660,Germany,Male,31,9,125189.75,2,1,1,55972.07190063965,0,5,GOLD,612,59614.166666666664,Adult,20.625,1
704,Germany,Female,24,7,113034.22,1,1,0,34757.080641439636,1,2,PLATINUM,801,102758.3818181818,Young,28.16,0
615,Spain,Female,41,9,109013.23,1,1,0,45078.91308554773,0,1,PLATINUM,561,99102.93636363636,Adult,14.642857142857142,0
667,Spain,Female,39,2,0.0,2,1,0,23468.47891818859,1,5,PLATINUM,308,0.0,Adult,16.675,0
682,Germany,Male,24,9,57929.81,2,0,0,27630.821816917687,0,5,SILVER,643,27585.623809523808,Young,27.28,0
484,France,Female,29,4,130114.39,1,1,0,21280.907823660706,0,1,GOLD,249,118285.80909090908,Young,16.133333333333333,0
628,Germany,Male,27,5,95826.49,2,1,0,37922.61777204522,1,2,SILVER,818,45631.6619047619,Young,22.428571428571427,0
480,Germany,Male,44,10,129608.57,1,1,0,42980.50233491742,1,1,GOLD,775,117825.97272727272,Adult,10.666666666666666,0
578,France,Male,30,4,169462.09,1,1,0,38940.90223566642,1,5,DIAMOND,872,154056.44545454544,Young,18.64516129032258,0
512,France,Male,40,5,0.0,2,1,1,26336.486297336494,0,3,DIAMOND,435,0.0,Adult,12.487804878048781,0
484,Spain,Female,35,7,133868.21,1,1,1,29567.28991500804,0,2,SILVER,415,121698.37272727271,Adult,13.444444444444445,1
510,France,Female,30,0,0.0,2,1,1,19198.672844897395,0,2,DIAMOND,430,0.0,Young,16.451612903225808,0
606,Germany,Male,36,5,190479.48,2,0,0,75390.29761860831,0,5,PLATINUM,929,90704.5142857143,Adult,16.37837837837838,0
597,Spain,Female,40,8,101993.12,1,0,1,33718.99110051167,0,5,SILVER,681,92721.01818181817,Adult,14.560975609756097,1
754,Germany,Female,55,3,161608.81,1,1,0,72449.35131551193,1,4,GOLD,810,146917.09999999998,Middle,13.464285714285714,0
850,Spain,Female,45,2,122311.21,1,1,1,50699.50043591701,0,5,GOLD,739,111192.0090909091,Adult,18.47826086956522,1
510,France,Male,65,2,0.0,2,1,1,19169.35528036808,0,1,SILVER,280,0.0,Senior,7.7272727272727275,0
778,Germany,Female,45,1,162150.42,2,1,0,69999.36629023807,0,2,DIAMOND,250,77214.48571428572,Adult,16.91304347826087,0
636,France,Male,42,2,0.0,2,1,1,29808.14210590341,0,4,PLATINUM,991,0.0,Adult,14.790697674418604,0
804,France,Female,50,4,0.0,1,1,1,31247.71986067374,1,2,GOLD,482,0.0,Middle,15.764705882352942,0
514,France,Male,32,8,0.0,2,1,0,24159.132342268997,0,4,PLATINUM,423,0.0,Adult,15.575757575757576,0
730,France,Female,39,1,99010.67,1,1,0,40945.137593953725,0,5,GOLD,260,90009.7,Adult,18.25,0
525,Spain,Female,37,0,0.0,1,0,1,18160.517771009178,0,5,SILVER,642,0.0,Adult,13.81578947368421,0
616,Spain,Male,30,5,0.0,2,0,1,22577.66549269699,0,4,PLATINUM,701,0.0,Young,19.870967741935484,0
687,Germany,Female,34,7,111388.18,2,1,0,44049.173776235344,0,4,GOLD,570,53041.99047619047,Adult,19.62857142857143,0
715,France,Female,41,8,56214.85,2,0,0,42588.738358645256,1,4,GOLD,790,26768.976190476187,Adult,17.023809523809526,0
512,France,Female,36,3,84327.77,2,1,0,33887.7082087881,0,5,PLATINUM,727,40156.08095238095,Adult,13.837837837837839,0
479,France,Male,40,1,0.0,2,0,0,19562.684466178733,0,3,SILVER,909,0.0,Adult,11.682926829268293,0
601,France,Male,32,8,93012.89,1,1,0,36530.681373319,0,2,GOLD,799,84557.17272727271,Adult,18.21212121212121,0
580,Spain,Male,29,9,61710.44,2,1,0,23433.267018013146,0,1,DIAMOND,520,29385.92380952381,Young,19.333333333333332,0
807,France,Male,35,3,174790.15,1,1,1,62128.397918341245,0,3,SILVER,861,158900.13636363635,Adult,22.416666666666668,1
616,Spain,Female,32,6,0.0,2,1,1,21460.928610674437,0,5,GOLD,512,0.0,Adult,18.666666666666668,0
721,Germany,Male,37,3,107720.64,1,1,1,55080.00133587365,0,1,PLATINUM,478,97927.85454545454,Adult,18.973684210526315,1
501,France,Male,57,10,0.0,2,1,1,24693.95159730529,0,5,PLATINUM,374,0.0,Middle,8.637931034482758,0
521,France,Male,35,6,96423.84,1,1,0,33515.11134216092,0,4,PLATINUM,280,87658.03636363635,Adult,14.472222222222221,0
850,Spain,Male,30,2,141040.01,1,1,1,45582.988394770466,0,2,DIAMOND,615,128218.1909090909,Young,27.419354838709676,1
759,France,Male,42,4,105420.18,1,0,1,53221.27153603908,0,3,GOLD,435,95836.52727272725,Adult,17.651162790697676,1
516,Spain,Male,50,5,0.0,1,0,1,23413.176183200732,1,5,GOLD,509,0.0,Middle,10.117647058823529,0
711,France,Female,38,2,129022.06,2,1,1,51530.66240285056,1,4,DIAMOND,321,61439.07619047619,Adult,18.23076923076923,1
512,Spain,Male,33,3,176666.62,1,1,0,32731.722828723283,0,1,PLATINUM,726,160606.01818181816,Adult,15.058823529411764,0
550,France,Male,37,3,0.0,1,1,1,21334.29090445219,0,3,GOLD,516,0.0,Adult,14.473684210526315,0
608,Spain,Female,41,3,89763.84,1,0,0,35907.89913383703,1,3,PLATINUM,639,81603.4909090909,Adult,14.476190476190476,0
618,France,Male,34,5,134954.53,1,1,1,43830.918203939706,0,2,SILVER,512,122685.93636363636,Adult,17.65714285714286,1
643,France,Male,45,5,0.0,1,1,0,31199.04859828585,1,3,GOLD,730,0.0,Adult,13.978260869565217,0
671,France,Male,45,2,106376.85,1,0,1,54077.75627937818,0,3,DIAMOND,244,96706.22727272726,Adult,14.58695652173913,1
689,Germany,Male,33,2,161814.64,2,1,0,57271.013843074754,0,3,PLATINUM,292,77054.59047619048,Adult,20.264705882352942,0
603,France,Male,31,8,0.0,2,1,1,29000.955037517408,0,3,GOLD,245,0.0,Adult,18.84375,0
620,France,Female,41,9,0.0,2,0,0,31946.47108862174,0,3,DIAMOND,848,0.0,Adult,14.761904761904763,0
676,France,Female,34,1,63095.01,1,1,1,29565.99699639065,0,3,SILVER,974,57359.1,Adult,19.314285714285713,0
572,Germany,Male,26,4,118287.01,2,0,0,33991.485253526465,0,4,DIAMOND,958,56327.14761904762,Young,21.185185185185187,0
668,Germany,Male,47,7,106854.21,1,0,1,59396.4022675394,1,3,GOLD,629,97140.1909090909,Middle,13.916666666666666,1
695,France,Male,46,7,49512.55,1,1,0,36934.26766236369,0,3,DIAMOND,310,45011.40909090909,Middle,14.787234042553191,0
730,Spain,Female,33,9,0.0,2,0,0,25568.260190265035,0,1,SILVER,621,0.0,Adult,21.470588235294116,0
807,France,Male,43,1,105799.32,2,1,0,50578.56520808158,1,4,DIAMOND,924,50380.62857142857,Adult,18.34090909090909,0
592,France,Male,54,8,0.0,1,1,1,25959.240762182202,1,2,PLATINUM,359,0.0,Middle,10.763636363636364,0
726,France,Female,31,9,114722.05,2,1,1,51632.88930401848,0,5,SILVER,811,54629.54761904762,Adult,22.6875,1
